Rank,Currency_Name,Price,Hour Change,Day Change,Week Change,Market_Capital,Volume,Circulating_Supply
100,"Onyxcoin
XCN
Buy",$0.01992,0.16%,6.98%,9.28%,"$668,002,601","$81,917,798
4.10B XCN",33.51B XCN
101,"Zcash
ZEC
Buy",$41.46,0.75%,1.94%,2.61%,"$658,750,348","$114,397,808
2.75M ZEC",15.88M ZEC
102,"Flow
FLOW
Buy",$0.4139,0.29%,1.88%,8.53%,"$655,254,171","$22,522,776
54.45M FLOW",1.58B FLOW
103,"Tezos
XTZ
Buy",$0.6238,0.13%,1.86%,6.61%,"$651,223,985","$16,357,694
26.25M XTZ",1.04B XTZ
104,"Pendle
PENDLE
Buy",$3.99,0.36%,0.43%,3.54%,"$647,939,908","$42,546,705
10.64M PENDLE",162.25M PENDLE
105,"Decentraland
MANA
Buy",$0.3322,0.49%,1.28%,9.91%,"$645,277,438","$36,755,437
110.63M MANA",1.94B MANA
106,"THORChain
RUNE
Buy",$1.83,1.14%,8.71%,5.80%,"$645,337,841","$146,234,567
79.65M RUNE",351.5M RUNE
107,"Jito
JTO
Buy",$1.95,0.49%,4.94%,5.81%,"$643,973,511","$16,953,980
8.67M JTO",329.45M JTO
108,"SPX6900
SPX
Buy",$0.6856,0.73%,2.14%,9.97%,"$638,358,469","$14,580,067
21.26M SPX",930.99M SPX
109,"Polyhedra Network
ZKJ
Buy",$2.07,0.03%,0.14%,5.36%,"$607,004,366","$1,989,639,622
959.94M ZKJ",292.86M ZKJ
110,"Pyth Network
PYTH
Buy",$0.1587,0.20%,2.50%,14.89%,"$575,545,362","$28,020,093
176.48M PYTH",3.62B PYTH
111,"DeepBook Protocol
DEEP
Buy",$0.1828,0.35%,5.20%,8.10%,"$576,006,656","$30,202,119
165.97M DEEP",3.15B DEEP
112,"MultiversX
EGLD
Buy",$18.70,0.43%,2.69%,4.89%,"$528,102,361","$19,951,255
1.06M EGLD",28.23M EGLD
113,"AIOZ Network
AIOZ
Buy",$0.4454,0.39%,0.25%,10.36%,"$524,300,175","$17,804,780
39.99M AIOZ",1.17B AIOZ
114,"Aerodrome Finance
AERO
Buy",$0.6384,0.22%,0.53%,12.38%,"$521,582,273","$20,226,885
31.67M AERO",816.89M AERO
115,"Reserve Rights
RSR
Buy",$0.008818,0.42%,3.54%,11.86%,"$504,856,858","$20,261,341
2.30B RSR",57.25B RSR
201,"Fasttoken
FTN
Buy",$4.39,0.06%,0.13%,0.76%,"$1,919,249,872","$52,422,799
11.92M FTN",436.26M FTN
202,"Jupiter Perps LP
JLP
Buy",$4.56,0.08%,1.20%,0.20%,"$1,592,784,581","$19,841,991
4.34M JLP",349.12M JLP
203,"Zeebu
ZBU
Buy",$3.09,0.58%,0.23%,26.44%,"$800,417,229","$1,104,106
357.27K ZBU",258.97M ZBU
204,"Fellaz
FLZ
Buy",$1.59,0.01%,0.32%,2.22%,"$752,110,545","$2,830,950
1.77M FLZ",471.87M FLZ
205,"Usual USD
USD0
Buy",$0.9974,0.00%,0.00%,0.05%,"$646,439,183","$4,250,136
4.26M USD0",648.07M USD0
206,"Ondo US Dollar Yield
USDY
Buy",$1.09,0.05%,0.19%,0.66%,"$586,664,372","$1,571,083
1.43M USDY",535.55M USDY
207,"Ultima
ULTIMA
Buy","$14,541.49",0.61%,4.75%,5.56%,"$543,982,650","$36,431,609
2.51K ULTIMA",37.4K ULTIMA
208,"would
WOULD
Buy",$0.5040,0.08%,0.14%,9.26%,"$503,778,823","$167,960
332.74K WOULD",999.45M WOULD
209,"Beldex
BDX
Buy",$0.06519,0.00%,1.13%,0.53%,"$465,859,871","$3,411,043
52.31M BDX",7.14B BDX
210,"Telcoin
TEL
Buy",$0.005120,0.16%,1.17%,18.91%,"$465,958,570","$1,368,485
267.24M TEL",91B TEL
301,"STP
STPT
Buy",$0.07068,1.24%,6.25%,3.30%,"$137,292,786","$18,738,622
267.79M STPT",1.94B STPT
302,"Alchemist AI
ALCH
Buy",$0.1593,0.27%,0.80%,4.53%,"$135,450,978","$29,304,007
184.18M ALCH",850M ALCH
303,"Hive
HIVE
Buy",$0.2689,0.21%,3.19%,1.42%,"$134,666,100","$5,696,361
21.15M HIVE",500.74M HIVE
304,"Animecoin
ANIME
Buy",$0.02417,0.38%,7.88%,14.36%,"$133,880,296","$143,876,386
5.98B ANIME",5.53B ANIME
305,"siren
SIREN
Buy",$0.1794,1.60%,12.61%,31.84%,"$131,317,148","$11,601,412
64.00M SIREN",731.79M SIREN
306,"Solar
SXP
Buy",$0.2033,0.04%,0.23%,10.86%,"$130,881,181","$13,260,284
65.05M SXP",643.5M SXP
307,"Metis
METIS
Buy",$20.53,0.53%,7.16%,9.78%,"$130,958,088","$14,429,868
701.95K METIS",6.37M METIS
308,"WEMIX
WEMIX
Buy",$0.3114,0.10%,1.76%,16.73%,"$131,179,858","$1,937,718
6.23M WEMIX",421.14M WEMIX
309,"Lift Dollar
USDL
Buy",$1.00,0.01%,0.09%,0.02%,"$130,769,064","$2,695,309
2.69M USDL",130.67M USDL
310,"Constellation
DAG
Buy",$0.04547,0.16%,1.25%,3.64%,"$130,663,132","$4,600,658
101.28M DAG",2.87B DAG
401,"iExec RLC
RLC
Buy",$1.22,0.58%,1.59%,9.89%,"$89,001,385","$4,894,671
3.98M RLC",72.38M RLC
402,"BitMart Token
BMX
Buy",$0.2745,0.09%,0.05%,0.05%,"$89,041,141","$3,981,011
14.50M BMX",324.28M BMX
403,"Nillion
NIL
Buy",$0.4534,0.39%,7.64%,13.95%,"$88,493,853","$32,616,880
71.92M NIL",195.15M NIL
404,"Ontology Gas
ONG
Buy",$0.2133,0.43%,2.59%,7.13%,"$88,314,291","$2,266,394
10.63M ONG",413.85M ONG
405,"Degen
DEGEN
Buy",$0.006192,11.15%,29.52%,57.16%,"$87,810,692","$66,799,303
10.74B DEGEN",14.17B DEGEN
406,"Radix
XRD
Buy",$0.008182,0.37%,3.40%,4.73%,"$87,914,292","$598,164
73.08M XRD",10.74B XRD
407,"Liquity
LQTY
Buy",$0.9090,0.90%,3.59%,3.90%,"$86,289,284","$13,489,908
14.89M LQTY",94.92M LQTY
408,"Apu Apustaja
APU
Buy",$0.0002543,0.09%,0.62%,18.35%,"$85,936,087","$2,150,464
8.47B APU",337.89B APU
409,"Banana Gun
BANANA
Buy",$21.52,0.24%,5.28%,13.23%,"$85,704,156","$15,087,064
701.39K BANANA",3.98M BANANA
410,"TARS AI
TAI
Buy",$0.09647,7.12%,19.02%,15.31%,"$86,348,413","$13,886,441
145.60M TAI",894.99M TAI
501,"Coin98
C98
Buy",$0.06377,0.38%,4.58%,11.60%,"$60,613,767","$9,528,598
149.43M C98",950.41M C98
502,"Venus BUSD
vBUSD
Buy",$0.02229,0.00%,0.02%,0.04%,"$60,083,864",--,2.69B vBUSD
503,"Comedian
BAN
Buy",$0.06010,0.55%,4.05%,13.32%,"$60,102,235","$15,879,252
264.32M BAN",999.96M BAN
504,"doginme
DOGINME
Buy",$0.0008888,0.59%,2.46%,32.35%,"$60,106,613","$9,055,375
10.19B DOGINME",67.61B DOGINME
505,"Tensor
TNSR
Buy",$0.1574,0.34%,4.13%,12.60%,"$60,041,704","$6,694,120
42.53M TNSR",381.37M TNSR
506,"Act I : The AI Prophecy
ACT
Buy",$0.06282,0.74%,6.92%,2.96%,"$59,569,145","$46,627,913
741.95M ACT",948.24M ACT
507,"Anchored Coins AEUR
AEUR
Buy",$1.04,0.05%,1.16%,1.19%,"$59,330,390","$88,101
84.68K AEUR",57M AEUR
508,"Hippo Protocol
HP
Buy",$0.05649,0.00%,0.00%,12.55%,"$59,177,465",--,1.04B HP
509,"Merlin Chain
MERL
Buy",$0.1122,0.09%,3.82%,9.68%,"$58,955,985","$14,566,538
129.35M MERL",525M MERL
510,"WINkLink
WIN
Buy",$0.00005944,0.30%,2.01%,3.19%,"$59,069,894","$23,443,284
394.57B WIN",993.7B WIN
601,"Energy Web Token
EWT
Buy",$1.42,0.46%,4.26%,33.37%,"$42,764,636","$208,528
147.22K EWT",30.06M EWT
602,"Ice Open Network
ICE
Buy",$0.006463,0.70%,2.07%,3.22%,"$42,756,250","$5,682,382
883.79M ICE",6.61B ICE
603,"ViciCoin
VCNT
Buy",$18.60,0.24%,0.89%,1.87%,"$42,419,196","$196,758
10.55K VCNT",2.27M VCNT
604,"Radworks
RAD
Buy",$0.8228,0.30%,0.19%,1.88%,"$42,437,682","$19,049,443
23.22M RAD",51.57M RAD
605,"Fusionist
ACE
Buy",$0.6767,0.35%,5.12%,7.80%,"$42,274,341","$14,124,808
20.88M ACE",62.46M ACE
606,"Synapse
SYN
Buy",$0.2290,0.43%,2.54%,16.88%,"$42,409,594","$4,784,702
20.98M SYN",185.15M SYN
607,"Wen
WEN
Buy",$0.00005800,0.20%,10.68%,1.31%,"$42,213,604","$3,536,867
61.04B WEN",727.71B WEN
608,"EscoinToken
ELG
Buy",$0.2690,0.03%,0.69%,0.06%,"$42,278,155","$252,907
945.52K ELG",157.13M ELG
609,"Ancient8
A8
Buy",$0.1458,0.30%,1.14%,6.85%,"$41,990,776","$4,456,666
30.53M A8",287.85M A8
610,"Maverick Protocol
MAV
Buy",$0.06937,0.81%,4.69%,9.25%,"$41,375,699","$4,921,877
70.26M MAV",596.43M MAV
701,"Electroneum
ETN
Buy",$0.001769,0.14%,1.00%,2.61%,"$31,806,787","$2,769,832
1.56B ETN",17.97B ETN
702,"BSquared Network
B2
Buy",$0.6766,0.04%,0.17%,8.14%,"$31,733,085","$858,553,316
1.26B B2",46.9M B2
703,"Law Blocks (AI)
LBT
Buy",$0.1290,0.04%,0.18%,0.33%,"$31,619,231","$322,283
2.49M LBT",244.99M LBT
704,"CLV
CLV
Buy",$0.02575,1.06%,0.90%,12.44%,"$31,533,194","$1,479,384
57.43M CLV",1.22B CLV
